Book Date,freq
01-01-2020,359
01-02-2020,785
01-03-2020,844
01-04-2020,834
01-05-2020,500
01-06-2020,777
01-07-2020,668
01-08-2020,410
01-09-2020,563
01-10-2020,868
01-11-2020,705
01-12-2020,522
1/13/2020,814
1/14/2020,707
1/16/2020,175
1/17/2020,148
1/18/2020,527
1/19/2020,467
1/20/2020,784
1/21/2020,783
1/22/2020,978
1/23/2020,770
1/24/2020,1063
1/25/2020,762
1/26/2020,14
1/27/2020,321
1/28/2020,1050
1/29/2020,719
1/30/2020,719
1/31/2020,622
02-01-2020,776
02-02-2020,605
02-03-2020,812
02-04-2020,1091
02-05-2020,834
02-06-2020,1017
02-07-2020,959
02-08-2020,868
02-09-2020,597
02-10-2020,711
02-11-2020,1050
02-12-2020,711
2/13/2020,893
2/14/2020,946
2/15/2020,1000
2/16/2020,490
2/17/2020,1072
2/18/2020,1051
2/19/2020,884
2/20/2020,975
2/21/2020,997
2/22/2020,1084
2/23/2020,642
2/24/2020,844
2/25/2020,893
2/26/2020,938
2/27/2020,923
2/28/2020,860
2/29/2020,782
03-01-2020,316
03-02-2020,925
03-03-2020,907
03-04-2020,864
03-05-2020,786
03-06-2020,743
03-07-2020,716
03-08-2020,448
03-09-2020,604
03-10-2020,944
03-11-2020,846
03-12-2020,843
3/13/2020,785
3/14/2020,732
3/15/2020,370
3/16/2020,747
3/17/2020,865
3/18/2020,805
3/19/2020,896
3/20/2020,936
3/21/2020,1074
3/23/2020,848
3/24/2020,778
3/25/2020,691
3/26/2020,628
3/27/2020,352
3/28/2020,872
3/30/2020,925
3/31/2020,1151
04-01-2020,548
04-02-2020,1062
04-03-2020,1010
04-04-2020,1065
04-05-2020,578
04-06-2020,639
04-07-2020,786
04-08-2020,317
04-09-2020,1009
04-10-2020,1217
04-11-2020,1158
04-12-2020,650
4/13/2020,876
4/14/2020,604
4/15/2020,1022
4/16/2020,1048
4/17/2020,917
4/18/2020,835
4/20/2020,921
4/21/2020,761
4/22/2020,637
4/23/2020,589
4/24/2020,510
4/25/2020,706
4/27/2020,587
4/28/2020,657
4/29/2020,887
4/30/2020,1015
05-02-2020,837
05-03-2020,289
05-04-2020,1060
05-05-2020,988
05-06-2020,1115
05-07-2020,748
05-08-2020,942
05-09-2020,1088
05-10-2020,599
05-11-2020,793
05-12-2020,755
5/13/2020,692
5/14/2020,624
5/15/2020,571
5/16/2020,661
5/18/2020,857
5/19/2020,676
5/20/2020,601
5/21/2020,576
5/22/2020,551
5/23/2020,579
5/25/2020,705
5/26/2020,717
5/27/2020,642
5/28/2020,620
5/29/2020,750
5/30/2020,646
06-01-2020,855
06-02-2020,795
06-03-2020,711
06-04-2020,742
06-05-2020,630
06-06-2020,783
06-08-2020,925
06-09-2020,781
06-10-2020,713
06-11-2020,717
06-12-2020,674
6/13/2020,746
6/15/2020,870
6/16/2020,727
6/17/2020,709
6/18/2020,529
6/19/2020,548
6/20/2020,582
6/22/2020,699
6/23/2020,770
6/24/2020,777
6/25/2020,723
6/26/2020,720
6/27/2020,634
6/29/2020,702
6/30/2020,845
